group,year,avg,n
class Actinopterygii,1980,312.51030898876405,356
class Actinopterygii,1981,521.4296174863388,549
class Actinopterygii,1982,343.5124427480916,524
class Actinopterygii,1983,243.07463722397478,317
class Actinopterygii,1984,215.27562977099237,524
class Actinopterygii,1985,718.2183631713555,391
class Actinopterygii,1986,303.82900414937757,241
class Actinopterygii,1987,8.84911111111111,180
class Actinopterygii,1988,130.29045945945947,370
class Actinopterygii,1989,479.95671617161713,606
class Actinopterygii,1990,799.3300493827161,405
class Actinopterygii,1991,1317.9108163265307,490
class Actinopterygii,1993,64,11
class Actinopterygii,1995,288,5
class Actinopterygii,1996,542.1176470588235,34
class Actinopterygii,1997,60.65060240963855,166
class Actinopterygii,1998,62.22857142857143,210
class Actinopterygii,1999,288,17
class Actinopterygii,2000,52.57142857142857,7
class Actinopterygii,2001,422.85714285714283,7
class Actinopterygii,2002,661.3333333333334,12
class Actinopterygii,2003,748,8
class Actinopterygii,2004,152,12
class Actinopterygii,2005,77.33333333333333,9
class Actinopterygii,2006,19.50705952156099,58
class Actinopterygii,2007,441.39247960788356,89
class Actinopterygii,2008,32.068836225196705,64
class Actinopterygii,2009,112.74389457418606,70
class Actinopterygii,2010,36.12223975194465,72
class Actinopterygii,2011,49.97685967300427,39
class Actinopterygii,2012,55.5403632202672,73
class Actinopterygii,2013,310.28931401638226,23
class Actinopterygii,2014,427.45454545454544,22
phylum Annelida,1993,13653.333333333334,8
phylum Annelida,1995,512,1
phylum Annelida,1996,1496.9142857142858,35
phylum Annelida,1997,537.5539568345324,139
phylum Annelida,1998,869.1494252873563,87
phylum Annelida,1999,326.6666666666667,18
phylum Annelida,2000,113.08108108108108,37
phylum Annelida,2001,101.89473684210526,19
phylum Annelida,2002,51.80952380952381,21
phylum Annelida,2003,145.52380952380952,21
phylum Annelida,2004,312.2758620689655,29
phylum Annelida,2005,394.6666666666667,21
phylum Annelida,2006,913.0790062278518,936
phylum Annelida,2007,1417.0106589737406,1474
phylum Annelida,2008,4238.8552007551725,1490
phylum Annelida,2009,1710.3787573830768,1854
phylum Annelida,2010,2488.186664998555,4566
phylum Annelida,2011,1763.6399986851698,929
phylum Annelida,2012,1721.996166710176,3349
phylum Annelida,2013,1165.686926139478,2232
phylum Annelida,2014,1689.560975609756,82
phylum Arthropoda,1984,3051.866666666667,15
phylum Arthropoda,1993,7776.285714285715,286
phylum Arthropoda,1995,7469.542234332425,1468
phylum Arthropoda,1996,10169.265132139812,2361
phylum Arthropoda,1997,7830.383732635393,4967
phylum Arthropoda,1998,7781.42868719611,4937
phylum Arthropoda,1999,7801.89381237525,2506
phylum Arthropoda,2000,7184.670071501532,1958
phylum Arthropoda,2001,6823.268817204301,1489
phylum Arthropoda,2002,8591.913804713804,1485
phylum Arthropoda,2003,8777.572860447186,1297
phylum Arthropoda,2004,8871.509881422924,1518
phylum Arthropoda,2005,5713.232413178985,2246
phylum Arthropoda,2006,3019.084846079078,4664
phylum Arthropoda,2007,3148.159231650708,4672
phylum Arthropoda,2008,4247.393696607504,4002
phylum Arthropoda,2009,5862.5506874493485,6490
phylum Arthropoda,2010,2860.284574003322,7044
phylum Arthropoda,2011,5159.766081992665,3884
phylum Arthropoda,2012,1836.3333276607145,5568
phylum Arthropoda,2013,2406.134405117643,5379
phylum Arthropoda,2014,8552.484848484848,2838
phylum Brachiopoda,2006,1401.0190150327694,116
phylum Brachiopoda,2007,1151.7629192059442,43
phylum Brachiopoda,2008,1185.078892343082,22
phylum Brachiopoda,2009,643.8240052284319,10
phylum Brachiopoda,2010,629.3461326307339,76
phylum Brachiopoda,2011,1985.7768777350238,41
phylum Brachiopoda,2012,361.5557381147094,52
phylum Brachiopoda,2013,153.30204844977635,59
phylum Bryozoa,1993,NaN,1
phylum Bryozoa,1995,426.6666666666667,3
phylum Bryozoa,1997,456,6
phylum Bryozoa,1998,2700.8,10
phylum Bryozoa,2002,32,1
phylum Bryozoa,2004,341.3333333333333,3
phylum Bryozoa,2006,659.8167241785799,260
phylum Bryozoa,2007,848.9182483599832,120
phylum Bryozoa,2008,801.7248188474679,44
phylum Bryozoa,2009,1395.0901386090663,70
phylum Bryozoa,2010,579.3236101149847,123
phylum Bryozoa,2011,1161.8823529411766,17
phylum Bryozoa,2012,579.5555555555555,69
phylum Bryozoa,2013,565.3333333333334,95
phylum Bryozoa,2014,674.1052631578947,19
phylum Cephalorhyncha,2004,32,1
phylum Cephalorhyncha,2008,0.207580852742143,1
phylum Cephalorhyncha,2009,600,2
phylum Cephalorhyncha,2011,200.21869395967283,2
phylum Cephalorhyncha,2012,200.10800700329028,4
phylum Cephalorhyncha,2013,266.7378582717526,3
phylum Chaetognatha,1993,12.666666666666666,5
phylum Chaetognatha,1995,581.0909090909091,22
phylum Chaetognatha,1996,355.1272727272727,111
phylum Chaetognatha,1997,450.1694915254237,354
phylum Chaetognatha,1998,134.39252336448598,321
phylum Chaetognatha,1999,199.40571428571428,175
phylum Chaetognatha,2000,174.41584158415841,101
phylum Chaetognatha,2001,281.02564102564105,78
phylum Chaetognatha,2002,237.45454545454547,66
phylum Chaetognatha,2003,193.07692307692307,52
phylum Chaetognatha,2004,194.9268292682927,82
phylum Chaetognatha,2005,536,194
phylum Chaetognatha,2006,269.17110266159693,263
phylum Chaetognatha,2007,225.96491228070175,171
phylum Chaetognatha,2008,275.1363636363636,132
phylum Chaetognatha,2009,211.6642160074376,64
phylum Chaetognatha,2010,52.48875130542786,95
phylum Chaetognatha,2011,121.66929133858268,127
phylum Chaetognatha,2012,51.875,96
phylum Chaetognatha,2013,91.22474295331622,136
phylum Chaetognatha,2014,168.13071895424838,153
phylum Chordata,1980,312.51030898876405,356
phylum Chordata,1981,521.4296174863388,549
phylum Chordata,1982,343.5124427480916,524
phylum Chordata,1983,243.07463722397478,317
phylum Chordata,1984,216.51129523809524,525
phylum Chordata,1985,716.3997704081632,392
phylum Chordata,1986,303.82900414937757,241
phylum Chordata,1987,8.84911111111111,180
phylum Chordata,1988,130.29045945945947,370
phylum Chordata,1989,479.95671617161713,606
phylum Chordata,1990,799.3300493827161,405
phylum Chordata,1991,1317.9108163265307,490
phylum Chordata,1993,14400,26
phylum Chordata,1995,681.1428571428571,7
phylum Chordata,1996,10771.377777777778,90
phylum Chordata,1997,846.2348178137652,247
phylum Chordata,1998,1075.5319148936171,282
phylum Chordata,1999,797.9354838709677,31
phylum Chordata,2000,1428.923076923077,13
phylum Chordata,2001,376,10
phylum Chordata,2002,582.4,15
phylum Chordata,2003,801.4545454545455,11
phylum Chordata,2004,516.4,20
phylum Chordata,2005,2788.9811320754716,53
phylum Chordata,2006,2215.7191351822603,183
phylum Chordata,2007,1214.4389109947072,233
phylum Chordata,2008,1473.3738430442986,179
phylum Chordata,2009,3129.558987491916,396
phylum Chordata,2010,3048.974935185341,447
phylum Chordata,2011,1338.0971724458564,152
phylum Chordata,2012,2095.44118265271,233
phylum Chordata,2013,3339.9607745966987,280
phylum Chordata,2014,1727.8181818181818,110
phylum Ciliophora,1998,8,1
phylum Ciliophora,2009,469.33332697550435,3
phylum Ciliophora,2010,791.3411905502096,5
phylum Cnidaria,1993,1024,7
phylum Cnidaria,1995,115.2,5
phylum Cnidaria,1996,1731.5744680851064,94
phylum Cnidaria,1997,560,198
phylum Cnidaria,1998,956.0764331210191,157
phylum Cnidaria,1999,62.3448275862069,87
phylum Cnidaria,2000,66.39080459770115,87
phylum Cnidaria,2001,149.6888888888889,45
phylum Cnidaria,2002,87.83333333333333,48
phylum Cnidaria,2003,115.88571428571429,35
phylum Cnidaria,2004,115.6056338028169,71
phylum Cnidaria,2005,114.2127659574468,47
phylum Cnidaria,2006,1020.2554926715659,106
phylum Cnidaria,2007,1645.3572892991617,142
phylum Cnidaria,2008,566.7843317248529,239
phylum Cnidaria,2009,524.1421742024384,215
phylum Cnidaria,2010,430.762788522284,306
phylum Cnidaria,2011,731.4324985135485,148
phylum Cnidaria,2012,426.2392202313321,223
phylum Cnidaria,2013,396.55221401938184,236
phylum Cnidaria,2014,728.48,50
phylum Ctenophora,1996,368,13
phylum Ctenophora,1997,91.2,5
phylum Ctenophora,1998,31.6,10
phylum Ctenophora,1999,10.666666666666666,3
phylum Ctenophora,2000,8,3
phylum Ctenophora,2001,132.8,5
phylum Ctenophora,2002,19.2,5
phylum Ctenophora,2003,20,2
phylum Ctenophora,2004,136,3
phylum Ctenophora,2005,83.2,5
phylum Ctenophora,2006,158.4,10
phylum Ctenophora,2007,337.3333333333333,6
phylum Ctenophora,2008,12,3
phylum Ctenophora,2009,62.177404233810925,21
phylum Ctenophora,2010,10.901960875977924,4
phylum Ctenophora,2011,14,2
phylum Ctenophora,2012,8,2
phylum Ctenophora,2013,217.33333333333334,7
phylum Ctenophora,2014,11.555555555555555,9
phylum Echinodermata,1993,6710.857142857143,10
phylum Echinodermata,1995,276,14
phylum Echinodermata,1996,3032.177777777778,46
phylum Echinodermata,1997,14552.56074766355,107
phylum Echinodermata,1998,3658.6938775510203,98
phylum Echinodermata,1999,1024.7272727272727,22
phylum Echinodermata,2000,1120.695652173913,23
phylum Echinodermata,2001,112.94117647058823,17
phylum Echinodermata,2002,392,4
phylum Echinodermata,2003,573.7142857142857,7
phylum Echinodermata,2004,700.8,20
phylum Echinodermata,2005,495.1489361702128,47
phylum Echinodermata,2006,450.2662239425548,513
phylum Echinodermata,2007,865.61010315512,468
phylum Echinodermata,2008,697.0426143930875,376
phylum Echinodermata,2009,1155.8267106485155,483
phylum Echinodermata,2010,1168.085634647372,958
phylum Echinodermata,2011,647.3978464639968,344
phylum Echinodermata,2012,740.3205290593395,1011
phylum Echinodermata,2013,435.4875019701978,741
phylum Echinodermata,2014,2756.75,32
phylum Foraminifera,2000,24,1
phylum Foraminifera,2004,2048,1
phylum Foraminifera,2006,611.047619047619,21
phylum Foraminifera,2007,1184,3
phylum Foraminifera,2008,NaN,1
phylum Foraminifera,2009,3106.2856860160837,14
phylum Foraminifera,2010,1293.1067681529905,9
phylum Foraminifera,2011,17408,2
phylum Foraminifera,2012,8832,1
phylum Haptophyta,1998,4,1
phylum Haptophyta,2000,21.53846153846154,13
phylum Haptophyta,2003,8,1
phylum Haptophyta,2005,72,4
phylum Haptophyta,2006,24,2
phylum Haptophyta,2007,16,1
phylum Haptophyta,2010,8,2
phylum Haptophyta,2011,8,1
phylum Haptophyta,2012,24,2
phylum Haptophyta,2014,8,1
phylum Hemichordata,2006,500,14
phylum Hemichordata,2007,NaN,7
phylum Hemichordata,2008,1083.3333333333333,12
phylum Hemichordata,2010,900,74
phylum Hemichordata,2011,0.42714963051557,22
phylum Hemichordata,2012,1651.2434216239687,36
phylum Hemichordata,2013,NaN,5
phylum Mollusca,1980,229.80314814814815,54
phylum Mollusca,1981,45.53171875,64
phylum Mollusca,1982,24.880645161290325,31
phylum Mollusca,1983,44.05725,40
phylum Mollusca,1984,40.499583333333334,72
phylum Mollusca,1985,169.1353125,64
phylum Mollusca,1986,72.1638775510204,49
phylum Mollusca,1987,14.934666666666667,15
phylum Mollusca,1988,85.70370370370371,54
phylum Mollusca,1989,63.17744680851064,94
phylum Mollusca,1990,36.26733333333333,45
phylum Mollusca,1991,29.15,80
phylum Mollusca,1993,1306.6666666666667,8
phylum Mollusca,1995,55.333333333333336,12
phylum Mollusca,1996,12108.811188811189,143
phylum Mollusca,1997,33186.82288828338,367
phylum Mollusca,1998,4156.738461538462,325
phylum Mollusca,1999,1066.4470588235295,85
phylum Mollusca,2000,838.5454545454545,99
phylum Mollusca,2001,3080.266666666667,30
phylum Mollusca,2002,1492.2666666666667,30
phylum Mollusca,2003,5252.181818181818,44
phylum Mollusca,2004,2355.7522123893805,113
phylum Mollusca,2005,661.9504132231405,121
phylum Mollusca,2006,1361.4825372289854,984
phylum Mollusca,2007,1595.8625292080892,753
phylum Mollusca,2008,3464.0686406202517,696
phylum Mollusca,2009,1370.9676855654427,728
phylum Mollusca,2010,1773.1126755886462,1740
phylum Mollusca,2011,2198.3948731760847,768
phylum Mollusca,2012,1634.0792932484953,1520
phylum Mollusca,2013,2178.7742716545104,1347
phylum Mollusca,2014,2586.2101167315177,257
phylum Myzozoa,2005,1062.857142857143,7
phylum NA,2002,32,1
phylum Nematoda,2006,0.451956973696104,1
phylum Nematoda,2010,13231.691550812768,107
phylum Nematoda,2011,2758.8699975443083,31
phylum Nematoda,2012,2994.844548442842,73
phylum Nematoda,2013,1305.6689888612525,44
phylum Nemertea,1996,1536,2
phylum Nemertea,2006,200.12547681188516,2
phylum Nemertea,2007,1430.1303753936722,20
phylum Nemertea,2008,750.1289717423311,54
phylum Nemertea,2009,732.2229457636145,50
phylum Nemertea,2010,1480.6744378538572,84
phylum Nemertea,2011,576.7477172743135,27
phylum Nemertea,2012,1104.2806521008158,104
phylum Nemertea,2013,1272.5086396526572,59
phylum Ochrophyta,2008,100,2
phylum Phoronida,2008,256,1
phylum Platyhelminthes,2008,100.28076205252987,5
phylum Platyhelminthes,2009,120.59729444368851,10
phylum Platyhelminthes,2010,144.83948174128045,7
phylum Platyhelminthes,2012,320.1287124562841,5
phylum Platyhelminthes,2013,200.11416046394814,2
phylum Porifera,2001,32,1
phylum Porifera,2006,1433.2344909113613,19
phylum Porifera,2007,639.3982617121111,133
phylum Porifera,2008,1415.187273907857,138
phylum Porifera,2009,295.5265503837408,199
phylum Porifera,2010,892.6111921706918,371
phylum Porifera,2011,18.976594674913038,195
phylum Porifera,2012,306.14167181988523,374
phylum Porifera,2013,1466.806915474292,155
phylum Radiozoa,2002,80,2
phylum Radiozoa,2007,640,1
phylum Radiozoa,2008,704,1
phylum Radiozoa,2009,1464,8
phylum Radiozoa,2010,1150.3937401564679,25
phylum Radiozoa,2012,256,1
phylum Rotifera,2010,138787.06141615967,16
phylum Sarcomastigophora,2000,32,1
phylum Sarcomastigophora,2001,8,2
phylum Sarcomastigophora,2006,72,2
phylum Sarcomastigophora,2009,4309.2765416185885,47
phylum Sarcomastigophora,2010,517.3333333333334,3
phylum Sipuncula,2006,2563.076923076923,65
phylum Sipuncula,2007,2136.791380506028,88
phylum Sipuncula,2008,8632.826276552782,114
phylum Sipuncula,2009,6228.160389880007,72
phylum Sipuncula,2010,4455.83815942647,275
phylum Sipuncula,2011,3078.3573882233827,82
phylum Sipuncula,2012,3114.471931324991,238
phylum Sipuncula,2013,1641.0517313332111,181
subphylum Tunicata,1984,864,1
subphylum Tunicata,1993,16448,15
subphylum Tunicata,1995,1664,2
subphylum Tunicata,1996,17290.618181818183,55
subphylum Tunicata,1997,2456.1975308641977,81
subphylum Tunicata,1998,4031,72
subphylum Tunicata,1999,1417.142857142857,14
subphylum Tunicata,2000,3034.6666666666665,6
subphylum Tunicata,2001,16,2
subphylum Tunicata,2002,384,2
subphylum Tunicata,2003,944,3
subphylum Tunicata,2004,1063,8
subphylum Tunicata,2005,3343.6363636363635,44
subphylum Tunicata,2006,3238.1052631578946,114
subphylum Tunicata,2007,1890.5188475109935,119
subphylum Tunicata,2008,2650.146937784977,103
subphylum Tunicata,2009,4103.5114860806925,297
subphylum Tunicata,2010,3851.2074314569027,344
subphylum Tunicata,2011,2051.664055273014,92
subphylum Tunicata,2012,3296.487323405744,145
subphylum Tunicata,2013,3886.893926863287,242
subphylum Tunicata,2014,2562.8985507246375,69
